seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,OWTA___5,OWTA___10,OWTA___15,OWTA___20,OWTA___25,OWTA___30,OWTA___35,OWTA___40,OWTA___45,OWTA___50,OWTA___55,OWTA___60,OWTA___65,OWTA___70,OWTA___75,OWTA___80,OWTA___85,OWTA___90,OWTA___95,OWTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,IDF1,IDR,IDP,IDTP,IDFN,IDFP,STDA,ATA,FDA,SFDA,VACE_IDs,VACE_GT_IDs,num_non_empty_timesteps,Dets,GT_Dets,IDs,GT_IDs
videoa1-1,0.5905928434966293,0.4858665596118036,0.28694931300105964,0.5905928434966293,0.5905928434966293,0.5905928434966293,0.5896672979357709,0.5896672979357709,0.5860646538977078,0.5602882552393602,0.5126569347384574,0.3880747996152259,0.19858643864649295,0.06954767528322325,0.025195860912850022,0.011560650056208495,0.007326982591430592,0.003498396571273578,0.0010657983142558715,0.0,0.0,0.0,0.279735766959364,0.5803237858032378,0.5803237858032378,0.5803237858032378,0.5793403858120721,0.5793403858120721,0.5754189944134078,0.5437956204379562,0.49381989405532667,0.36378291241268135,0.17608897126969417,0.05970772442588727,0.02091713596138375,0.008744038155802861,0.003955696202531646,0.0015785319652722968,0.00039416633819471815,0.0,0.0,0.0,0.2709397797195788,0.6010436162058275,0.6010436162058275,0.6010436162058275,0.6001782902938575,0.6001782902938575,0.5969072656323783,0.5772810908376618,0.5322125250506523,0.41398879649836956,0.2239582259464568,0.08100926946737824,0.030349824579793332,0.015284543290038071,0.013571485560688093,0.0077532662240308425,0.002881844380403458,0.0,0.0,0.0,0.2894045035091078,0.6558761435608726,0.6558761435608726,0.6558761435608726,0.6551724137931034,0.6551724137931034,0.6523574947220268,0.6291344123856439,0.5904292751583392,0.47642505277973257,0.2674173117522871,0.10063335679099226,0.036593947923997186,0.015482054890921885,0.007037297677691766,0.0028149190710767065,0.0007037297677691766,0.0,0.0,0.0,0.318789584799437,0.8343777976723367,0.8343777976723367,0.8343777976723367,0.8334825425246195,0.8334825425246195,0.8299015219337511,0.8003581020590869,0.7511190689346464,0.6060877350044763,0.3401969561324978,0.12802148612354522,0.046553267681289166,0.019695613249776187,0.008952551477170993,0.0035810205908683975,0.0008952551477170994,0.0,0.0,0.0,0.40555058191584603,0.6606316198045539,0.6606316198045539,0.6606316198045539,0.6601523087312959,0.6601523087312959,0.6575941525756172,0.6388865274483139,0.6069346390031556,0.5134223103555061,0.31533919868632027,0.12872021083295856,0.04993696776341706,0.025130997922928777,0.022111891948190007,0.012725704638872577,0.004807692307692308,0.0,0.0,0.0,0.33041104054522247,0.8867298752653447,0.8867298752653447,0.8867298752653447,0.8855488102872592,0.8855488102872592,0.8826159323544251,0.8663821417172077,0.8179841321228656,0.6805205488861858,0.4335701443745556,0.17951055489298584,0.072130765909074,0.03731398651238597,0.03387758103263364,0.019496086105675145,0.007142857142857143,0.0,0.0,0.0,0.4453595777590213,0.4858665596118036,0.4858665596118036,0.4858665596118036,0.4862069726946066,0.4862069726946066,0.48716048986773075,0.4931754071650638,0.5006179944874385,0.5181383320191004,0.5522516947714183,0.6041075441648865,0.6586410188308508,0.7047057113879309,0.7513799291043789,0.7807387258204506,0.8049832295160517,1.0,1.0,1.0,0.6466270369136802,0.6278615843551502,0.6278615843551502,0.6278615843551502,0.62707277022531,0.62707277022531,0.6240167693173907,0.6026503130883579,0.560565656632518,0.444111060684097,0.2447249613901549,0.09028972653457486,0.033325964354770095,0.015382982097078616,0.009772746994528082,0.004671703860173427,0.0014240925800551845,0.0,0.0,0.0,0.30361401426577733,932.0,932.0,932.0,931.0,931.0,927.0,894.0,839.0,677.0,380.0,143.0,52.0,22.0,10.0,4.0,1.0,0.0,0.0,0.0,453.0,489.0,489.0,489.0,490.0,490.0,494.0,527.0,582.0,744.0,1041.0,1278.0,1369.0,1399.0,1411.0,1417.0,1420.0,1421.0,1421.0,1421.0,968.0,185.0,185.0,185.0,186.0,186.0,190.0,223.0,278.0,440.0,737.0,974.0,1065.0,1095.0,1107.0,1113.0,1116.0,1117.0,1117.0,1117.0,664.0,-0.2512315270935961,0.5522516947714183,-0.2512315270935961,0.2674173117522871,0.3401969561324978,0.0,0.7,0.3,-0.3709671752194659,0.2994483845547675,0.38048528652555497,-0.2512315270935961,209.85564401313897,380,1041,737,0,0,7,3,109.0,1937,0.2994483845547675,0.2674173117522871,0.3401969561324978,380,1041,737,2.4498301275850007,0.24498301275850007,355.4492151466349,0.3101651092029973,10,10,1146,1117,1421,10,10
videoa1-2,0.47604153612255684,0.4873551560013671,0.23200129710013911,0.47604153612255684,0.47604153612255684,0.47604153612255684,0.47604153612255684,0.472879191841081,0.4666167932941526,0.4453390274888019,0.3813838083073353,0.2566148360936546,0.1599174076979674,0.07920970824992177,0.05077207430260152,0.022265065774103258,0.011001639366407492,0.001556002365274769,0.0,0.0,0.0,0.0,0.2237748262774489,0.35431918008784774,0.35431918008784774,0.35431918008784774,0.35431918008784774,0.35233918128654973,0.34839650145772594,0.3347763347763348,0.2900976290097629,0.19974059662775617,0.11311672683513839,0.05353075170842825,0.03467561521252797,0.015367727771679473,0.007625272331154684,0.0010822510822510823,0.0,0.0,0.0,0.0,0.16673817412898426,0.6395802340074785,0.6395802340074785,0.6395802340074785,0.6395802340074785,0.6346575741583873,0.6249524058740791,0.5924159768855068,0.5013953741556131,0.3296834755435114,0.22608130557127995,0.1172069825436409,0.07434052757793765,0.03225806451612903,0.015873015873015872,0.0022371364653243847,0.0,0.0,0.0,0.0,0.3004959355365442,0.35431918008784774,0.35431918008784774,0.35431918008784774,0.35431918008784774,0.3528550512445095,0.34992679355783307,0.3396778916544656,0.30453879941434847,0.22547584187408493,0.1376281112737921,0.06881405563689605,0.04538799414348463,0.020497803806734993,0.010248901903367497,0.0014641288433382138,0.0,0.0,0.0,0.0,0.17230484703706558,1.0,1.0,1.0,1.0,0.9958677685950413,0.987603305785124,0.9586776859504132,0.859504132231405,0.6363636363636364,0.3884297520661157,0.19421487603305784,0.128099173553719,0.05785123966942149,0.028925619834710745,0.004132231404958678,0.0,0.0,0.0,0.0,0.4862983906046107,0.6395802340074785,0.6395802340074785,0.6395802340074785,0.6395802340074785,0.6365715974094376,0.6305731717923901,0.6097851118668882,0.5477143792739768,0.4072787009540658,0.3070920417439092,0.17669172932330826,0.11654135338345864,0.05263157894736842,0.02631578947368421,0.0037593984962406013,0.0,0.0,0.0,0.0,0.3196460941418233,1.0,1.0,1.0,1.0,0.9958734211846245,0.9876546048094165,0.9592648730579765,0.8597219287123133,0.6363683935112506,0.4511125399423272,0.25824175824175827,0.17032967032967034,0.07692307692307694,0.03846153846153847,0.005494505494505495,0.0,0.0,0.0,0.0,0.49681296371939254,0.4873551560013671,0.4873551560013671,0.4873551560013671,0.4873551560013671,0.48841699507038616,0.4901874546110118,0.49523578236382026,0.508562789070227,0.5369101661665471,0.5746703400413531,0.6284512197674391,0.6615388206430056,0.6954796742313941,0.7288940854259064,0.7773415591699383,1.0,1.0,1.0,1.0,0.6597426058192892,0.47604153612255684,0.47604153612255684,0.47604153612255684,0.47604153612255684,0.4732252432535418,0.4676404511093646,0.4485873493656387,0.39076123819700753,0.27264566602120693,0.17639484992507096,0.08980806098447293,0.05808758413233409,0.02571418825544786,0.012754645529889683,0.0018098220977115767,0.0,0.0,0.0,0.0,0.22745238122957442,242.0,242.0,242.0,242.0,241.0,239.0,232.0,208.0,154.0,94.0,47.0,31.0,14.0,7.0,1.0,0.0,0.0,0.0,0.0,117.6842105263158,441.0,441.0,441.0,441.0,442.0,444.0,451.0,475.0,529.0,589.0,636.0,652.0,669.0,676.0,682.0,683.0,683.0,683.0,683.0,565.3157894736842,0.0,0.0,0.0,0.0,1.0,3.0,10.0,34.0,88.0,148.0,195.0,211.0,228.0,235.0,241.0,242.0,242.0,242.0,242.0,124.3157894736842,-0.07906295754026355,0.5746703400413531,-0.07906295754026355,0.1376281112737921,0.3884297520661157,0.0,0.2,0.8,-0.13760027530909635,0.20324324324324325,0.07570332480818415,-0.07906295754026355,54.019011963887195,94,589,148,0,0,1,4,15.0,1955,0.20324324324324325,0.1376281112737921,0.3884297520661157,94,589,148,0.38589119858469706,0.1102546281670563,117.72875451051458,0.1794645648026137,2,5,656,242,683,2,5
videoa1-3,0.5669525325693231,0.4457181451919397,0.2527010312286715,0.5669525325693231,0.5669525325693231,0.5669525325693231,0.5669525325693231,0.563906814257737,0.5513620162848937,0.5131888190097753,0.39118561038106486,0.23223216457653437,0.1163492847265859,0.04962881310029851,0.01872202978267452,0.0031095671044422124,0.00187645518990172,0.001218099988771798,0.0,0.0,0.0,0.0,0.24792577919368278,0.6498781478472786,0.6498781478472786,0.6498781478472786,0.6498781478472786,0.6458670988654781,0.6261008807045636,0.5659213569776407,0.3977976600137646,0.2082093991671624,0.09252286175363099,0.039938556067588324,0.013979031452820768,0.0014792899408284023,0.0009857072449482504,0.0004926108374384236,0.0,0.0,0.0,0.0,0.2733056339165778,0.49460837427989146,0.49460837427989146,0.49460837427989146,0.49460837427989146,0.49234725801157647,0.48554487363066173,0.4653698976182185,0.3846834638592677,0.2590266264617719,0.14631147156293942,0.06167020874706075,0.025074297913009056,0.006536519522071689,0.003572139798864881,0.0030120481927710845,0.0,0.0,0.0,0.0,0.2269253843388305,0.6498781478472786,0.6498781478472786,0.6498781478472786,0.6498781478472786,0.6474411047928513,0.6352558895207149,0.5962632006498781,0.4695369618196588,0.2843216896831844,0.1397238017871649,0.06336311941510966,0.022745735174654752,0.002437043054427295,0.0016246953696181965,0.0008123476848090983,0.0,0.0,0.0,0.0,0.2875283252811151,1.0,1.0,1.0,1.0,0.99625,0.9775,0.9175,0.7225,0.4375,0.215,0.0975,0.035,0.00375,0.0025,0.00125,0.0,0.0,0.0,0.0,0.44243421052631576,0.6140152573070118,0.6140152573070118,0.6140152573070118,0.6140152573070118,0.6116404888305329,0.6042504129666076,0.5841835990645484,0.4969054501203703,0.3693497570855394,0.23382330080371913,0.11198126687507741,0.050249492016226326,0.014390210555099809,0.0074343724364232975,0.005434782608695652,0.0,0.0,0.0,0.0,0.29187916645215195,0.7140375637705048,0.7140375637705048,0.7140375637705048,0.7140375637705048,0.7115431766607724,0.7031979752525438,0.6766198541535674,0.5726515731435671,0.4174727810589028,0.2616705980446349,0.12008733298780375,0.04840860120493095,0.011969496562647985,0.007005339734482927,0.006711409395973154,0.0,0.0,0.0,0.0,0.33649938912009714,0.4457181451919397,0.4457181451919397,0.4457181451919397,0.4457181451919397,0.4465327031315541,0.4496673366827645,0.4574517394512807,0.47878977942089784,0.5130537608854007,0.5545977626674283,0.5932936109565872,0.6364115192766148,0.7280218189369423,0.747996031157707,0.7879924953095685,1.0,1.0,1.0,1.0,0.6408779546655002,0.5669525325693231,0.5669525325693231,0.5669525325693231,0.5669525325693231,0.5645935287166742,0.5553784660935902,0.5267664991625275,0.4249977704444378,0.2713796014967706,0.14297970153783565,0.06251093345323482,0.023881652790786953,0.003991212785782441,0.002409074301644648,0.0015642347572954064,0.0,0.0,0.0,0.0,0.25517172662199333,800.0,800.0,800.0,800.0,797.0,782.0,734.0,578.0,350.0,172.0,78.0,28.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,353.94736842105266,431.0,431.0,431.0,431.0,434.0,449.0,497.0,653.0,881.0,1059.0,1153.0,1203.0,1228.0,1229.0,1230.0,1231.0,1231.0,1231.0,1231.0,877.0526315789474,0.0,0.0,0.0,0.0,3.0,18.0,66.0,222.0,450.0,628.0,722.0,772.0,797.0,798.0,799.0,800.0,800.0,800.0,800.0,446.05263157894734,-0.37124289195775795,0.5545977626674283,-0.3704305442729488,0.1397238017871649,0.215,0.0,0.2222222222222222,0.7777777777777778,-0.43347618588237397,0.16937469226981783,0.32221652129297074,-0.3704305442729488,95.39081517879768,172,1059,628,1,0,2,7,83.0,1949,0.15558838010832102,0.12835093419983754,0.1975,158,1073,642,0.8545560764041842,0.10681950955052302,326.284974203106,0.3007234785282083,7,9,1085,800,1231,7,9
videoa1-4,0.6471611986348478,0.4577901477472656,0.2962640207393445,0.6471611986348478,0.6471611986348478,0.6471611986348478,0.6471611986348478,0.6451131537350733,0.6308291858664574,0.5957736076621005,0.5022191013501304,0.3240766165166565,0.1403304305023858,0.04584871267068514,0.016369947729407162,0.009454252761227409,0.004738075629003981,0.0023275263217041138,0.0,0.0,0.0,0.0,0.28977502133074856,0.626938775510204,0.626938775510204,0.626938775510204,0.626938775510204,0.6229641693811075,0.5956765412329864,0.5461598138091543,0.44420289855072465,0.272669220945083,0.1152770005595971,0.0385617509119333,0.01218892839004571,0.006057546693589096,0.0025150905432595573,0.0010045203415369162,0.0,0.0,0.0,0.0,0.2718438201789386,0.6680359125620493,0.6680359125620493,0.6680359125620493,0.6680359125620493,0.668049627212851,0.6680562926269233,0.6498943763569248,0.5678126517945952,0.3851760496064084,0.17082878309974797,0.05451268170783521,0.02198513110326984,0.014755626294680154,0.0089258658008658,0.005393000573723466,0.0,0.0,0.0,0.0,0.3098701966540012,0.626938775510204,0.626938775510204,0.626938775510204,0.626938775510204,0.6244897959183674,0.6073469387755102,0.5746938775510204,0.5004081632653061,0.3485714285714286,0.16816326530612244,0.060408163265306125,0.019591836734693877,0.009795918367346938,0.004081632653061225,0.0016326530612244899,0.0,0.0,0.0,0.0,0.28562835660580016,1.0,1.0,1.0,1.0,0.99609375,0.96875,0.9166666666666666,0.7981770833333334,0.5559895833333334,0.2682291666666667,0.09635416666666667,0.03125,0.015625,0.006510416666666667,0.0026041666666666665,0.0,0.0,0.0,0.0,0.4555921052631579,0.6680359125620493,0.6680359125620493,0.6680359125620493,0.6680359125620493,0.6683568106640507,0.6707333005963846,0.663489045378289,0.6068369749865418,0.4643365061797119,0.2464202044295088,0.08835373047801176,0.03700394272153102,0.025192679866641875,0.015465677950111324,0.00934056473829201,0.0,0.0,0.0,0.0,0.3246143730651196,1.0,1.0,1.0,1.0,0.9963458110516935,0.9812555050139606,0.9611126143870465,0.872353988542377,0.6582560486474834,0.3442596073454218,0.123582376755025,0.05060441294034534,0.03403419488122148,0.02063268499888218,0.012597809076682316,0.0,0.0,0.0,0.0,0.47658079229684946,0.4577901477472656,0.4577901477472656,0.4577901477472656,0.4577901477472656,0.4586493398217494,0.46377588599336667,0.4713108349455723,0.4854245083271059,0.510771176371131,0.5495551909504302,0.5979599915228997,0.6588915982648101,0.7016490150909881,0.7474909233607298,0.7750037672836219,1.0,1.0,1.0,1.0,0.644823306469551,0.6471611986348478,0.6471611986348478,0.6471611986348478,0.6471611986348478,0.6459026051669824,0.6369787627987908,0.6111385433329855,0.5330460450686565,0.36641692900684214,0.16949078433450288,0.05738476258238398,0.020754014049482163,0.012022683171479018,0.006035901366793226,0.0029673049886850267,0.0,0.0,0.0,0.0,0.29740963844247237,768.0,768.0,768.0,768.0,765.0,744.0,704.0,613.0,427.0,206.0,74.0,24.0,12.0,5.0,2.0,0.0,0.0,0.0,0.0,349.89473684210526,457.0,457.0,457.0,457.0,460.0,481.0,521.0,612.0,798.0,1019.0,1151.0,1201.0,1213.0,1220.0,1223.0,1225.0,1225.0,1225.0,1225.0,875.1052631578947,0.0,0.0,0.0,0.0,3.0,24.0,64.0,155.0,341.0,562.0,694.0,744.0,756.0,763.0,766.0,768.0,768.0,768.0,768.0,418.10526315789474,-0.29061224489795917,0.5495551909504302,-0.29061224489795917,0.16816326530612244,0.2682291666666667,0.0,0.3,0.7,-0.36636051482792764,0.20672353236327146,0.2911917098445596,-0.29061224489795917,113.20836933578862,206,1019,562,0,0,3,7,105.0,1930,0.20672353236327146,0.16816326530612244,0.2682291666666667,206,1019,562,1.4377397169945392,0.15134102284153045,342.97339275886213,0.2982377328337932,9,10,1150,768,1225,9,10
videoa1-5,0.34595397836412184,0.37387594034510835,0.12934386897701733,0.34595397836412184,0.34595397836412184,0.34595397836412184,0.34595397836412184,0.32642607701763326,0.2655326501646797,0.20055961109753243,0.089185576720049,0.04201517175730665,0.011071814396989534,0.003475283675602034,0.003475283675602034,0.003475283675602034,0.0,0.0,0.0,0.0,0.0,0.0,0.12258066661249915,0.2116788321167883,0.2116788321167883,0.2116788321167883,0.2116788321167883,0.2011577424023155,0.16736990154711673,0.1292517006802721,0.06002554278416347,0.028500619578686492,0.007281553398058253,0.0024154589371980675,0.0024154589371980675,0.0024154589371980675,0.0,0.0,0.0,0.0,0.0,0.0,0.07618677714049264,0.5654044570688611,0.5654044570688611,0.5654044570688611,0.5654044570688611,0.5297036170947568,0.4212680275947309,0.311207956196223,0.13251137309142777,0.06193811516701543,0.016835016835016838,0.005000125003125078,0.005000125003125078,0.005000125003125078,0.0,0.0,0.0,0.0,0.0,0.0,0.1973727531191574,0.2116788321167883,0.2116788321167883,0.2116788321167883,0.2116788321167883,0.2029197080291971,0.17372262773722627,0.1386861313868613,0.06861313868613139,0.033576642335766425,0.008759124087591242,0.00291970802919708,0.00291970802919708,0.00291970802919708,0.0,0.0,0.0,0.0,0.0,0.0,0.07798693814829044,1.0,1.0,1.0,1.0,0.9586206896551724,0.8206896551724138,0.6551724137931034,0.32413793103448274,0.15862068965517243,0.041379310344827586,0.013793103448275862,0.013793103448275862,0.013793103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.3684210526315789,0.5654044570688611,0.5654044570688611,0.5654044570688611,0.5654044570688611,0.5420839343062194,0.4631198815080242,0.37027001179508434,0.18289624598889132,0.0907565902088326,0.026125580456289117,0.007783161720169594,0.007783161720169594,0.007783161720169594,0.0,0.0,0.0,0.0,0.0,0.0,0.20843260829996285,1.0,1.0,1.0,1.0,0.958622816032888,0.8236174469787916,0.6601503759398496,0.32514690982776084,0.1629399585921325,0.04507936507936508,0.01380952380952381,0.01380952380952381,0.01380952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.3693150233620715,0.37387594034510835,0.37387594034510835,0.37387594034510835,0.37387594034510835,0.3802939857894095,0.3984188157196118,0.417089954999864,0.4598967975253507,0.4976475884055276,0.5733343358092747,0.6744447415935182,0.6744447415935182,0.6744447415935182,1.0,1.0,1.0,1.0,1.0,1.0,0.644501024442633,0.34595397836412184,0.34595397836412184,0.34595397836412184,0.34595397836412184,0.32785256339226276,0.2705250242314655,0.20775039711554336,0.0953520907972753,0.045603442193702735,0.012143310976607658,0.0038208513604448637,0.0038208513604448637,0.0038208513604448637,0.0,0.0,0.0,0.0,0.0,0.0,0.1239213313812989,145.0,145.0,145.0,145.0,139.0,119.0,95.0,47.0,23.0,6.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,53.421052631578945,540.0,540.0,540.0,540.0,546.0,566.0,590.0,638.0,662.0,679.0,683.0,683.0,683.0,685.0,685.0,685.0,685.0,685.0,685.0,631.578947368421,0.0,0.0,0.0,0.0,6.0,26.0,50.0,98.0,122.0,139.0,143.0,143.0,143.0,145.0,145.0,145.0,145.0,145.0,145.0,91.57894736842105,-0.19416058394160585,0.5733343358092747,-0.19416058394160585,0.008759124087591242,0.041379310344827586,0.0,0.0,1.0,-0.19789780143816696,0.014457831325301205,0.11300813008130081,-0.19416058394160585,3.4400060148556486,6,679,139,0,0,0,5,3.0,1230,0.014457831325301205,0.008759124087591242,0.041379310344827586,6,679,139,0.04688067837674137,0.01339447953621182,47.18295037244187,0.08093130424089515,2,5,583,145,685,2,5
COMBINED,0.5604643223490561,0.46177240813440396,0.25880695980454044,0.5604643223490561,0.5604643223490561,0.5604643223490561,0.5601815885584003,0.5569687423813778,0.5440223535673737,0.5118258100767559,0.43233466092996753,0.2964531934306461,0.1495459818427476,0.0570472800407305,0.025024367027439424,0.010970292211011277,0.006000518239205597,0.0023795638403887615,0.00058867829354041,0.0,0.0,0.0,0.25445978934140806,0.5316758747697974,0.5316758747697974,0.5316758747697974,0.5313938501196833,0.5277369581190301,0.5105339629495096,0.4699540473665606,0.3788129973474801,0.24394256655698474,0.11502882423917415,0.04314561645553744,0.016748166259168706,0.0064133591481122946,0.002894006993850235,0.0009628114093152004,0.00012025012025012025,0.0,0.0,0.0,0.23382710744179205,0.5908115668445422,0.5908115668445422,0.5908115668445422,0.5905288743728148,0.5878196992220609,0.5797074096131274,0.5574282450139134,0.4934182838240287,0.3602671609782311,0.1944208404565707,0.0754281066629157,0.037390299059228464,0.018765097730476812,0.012441648971668781,0.005881031337708222,0.002881844380403458,0.0,0.0,0.0,0.27835859169246185,0.5504289799809342,0.5504289799809342,0.5504289799809342,0.5502383222116302,0.5477597712106769,0.5359389895138227,0.5069590085795996,0.4356530028598665,0.3109628217349857,0.16358436606291707,0.06558627264061011,0.02612011439466158,0.010104861773117254,0.00457578646329838,0.001525262154432793,0.00019065776930409913,0.0,0.0,0.0,0.2531834830164066,0.9397786458333334,0.9397786458333334,0.9397786458333334,0.939453125,0.9352213541666666,0.9150390625,0.8655598958333334,0.7438151041666666,0.5309244791666666,0.279296875,0.11197916666666667,0.044596354166666664,0.017252604166666668,0.0078125,0.0026041666666666665,0.0003255208333333333,0.0,0.0,0.0,0.432274533991228,0.6431363073279883,0.6431363073279883,0.6431363073279883,0.6429756233634424,0.6411888795784926,0.6357016833792353,0.6181637466235944,0.5649633664815916,0.45367218194425674,0.2795250241936893,0.12209239134412153,0.06219088323938923,0.03114666364288551,0.020730274184212198,0.009847266142126321,0.004807692307692308,0.0,0.0,0.0,0.3166533999162471,0.8841919968007292,0.8841919968007292,0.8841919968007292,0.8838101155210818,0.8795699497266569,0.8652436173640536,0.8398163311155018,0.7641743356842928,0.606775946896009,0.37687241466692323,0.1637991246732535,0.0848801853972046,0.04471261615240033,0.03021586183418677,0.014423234683317982,0.007142857142857143,0.0,0.0,0.0,0.43231645164525934,0.46177240813440396,0.46177240813440396,0.46177240813440396,0.46187387397938395,0.4629242467020037,0.4670414554589251,0.4749866362534349,0.49090609325822954,0.5166019739547942,0.5546781427814313,0.6040680716719297,0.6550280788352197,0.7017544190729004,0.7437293570060081,0.779787061541069,0.8049832295160517,1.0,1.0,1.0,0.6370357823386628,0.5702629289189144,0.5702629289189144,0.5702629289189144,0.5700277335818146,0.5674363259071497,0.5573937596724018,0.5315950248511735,0.46363688055837404,0.3347083700122288,0.17833734868363288,0.07033525693675263,0.03125122219494231,0.013770211281077152,0.007545218946171954,0.0029950149462798364,0.0007412462620811501,0.0,0.0,0.0,0.2652927579258328,2887.0,2887.0,2887.0,2886.0,2873.0,2811.0,2659.0,2285.0,1631.0,858.0,344.0,137.0,53.0,24.0,8.0,1.0,0.0,0.0,0.0,1327.9473684210527,2358.0,2358.0,2358.0,2359.0,2372.0,2434.0,2586.0,2960.0,3614.0,4387.0,4901.0,5108.0,5192.0,5221.0,5237.0,5244.0,5245.0,5245.0,5245.0,3917.0526315789475,185.0,185.0,185.0,186.0,199.0,261.0,413.0,787.0,1441.0,2214.0,2728.0,2935.0,3019.0,3048.0,3064.0,3071.0,3072.0,3072.0,3072.0,1744.0526315789473,-0.2587225929456625,0.5546781427814315,-0.2585319351763584,0.16358436606291707,0.279296875,0.0,0.3333333333333333,0.6666666666666666,-0.3315702866527229,0.20632439581579898,0.2459726697033663,-0.2585319351763584,475.9138465064682,858,4387,2214,1,0,13,26,315.0,9001,0.20295779728267405,0.16091515729265968,0.2747395833333333,844,4401,2228,5.174897797945162,0.1499970376215989,1189.6192869915596,0.25749335216267527,30,39,4620,3072,5245,30,39
