seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,OWTA___5,OWTA___10,OWTA___15,OWTA___20,OWTA___25,OWTA___30,OWTA___35,OWTA___40,OWTA___45,OWTA___50,OWTA___55,OWTA___60,OWTA___65,OWTA___70,OWTA___75,OWTA___80,OWTA___85,OWTA___90,OWTA___95,OWTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,IDF1,IDR,IDP,IDTP,IDFN,IDFP,STDA,ATA,FDA,SFDA,VACE_IDs,VACE_GT_IDs,num_non_empty_timesteps,Dets,GT_Dets,IDs,GT_IDs
video10,0.46495425330750917,0.691423168928588,0.32148014322870344,0.46495425330750917,0.46495425330750917,0.4643646672695067,0.4624331318926278,0.4568333479169858,0.45262185139554584,0.4449774608181316,0.4315171787496592,0.4142410667001357,0.3931477038780413,0.35809813460011486,0.32167577444584267,0.2742379358150212,0.2244034880445347,0.1806787311348507,0.11610587624606875,0.052342000432880335,0.008056245542569323,0.0007529796197218232,0.31507347795353985,0.3739108787652477,0.3739108787652477,0.37356893977103034,0.3718617946805866,0.36744301288404363,0.36473788328387735,0.35935960591133004,0.348399706816516,0.3347037484885127,0.3162413546386835,0.289787333489133,0.25889598540145986,0.21912966644576984,0.17375584857507442,0.13466282894736842,0.08025053826580544,0.03623732632369508,0.00509925332362047,0.00036251586006887804,0.251701005296688,0.5781657339915728,0.5781657339915728,0.5772282469214047,0.5750641892526435,0.5679702714469674,0.5616815520127448,0.5509938718182156,0.5344639272447234,0.5126792338471692,0.4887568143678488,0.4425116600511829,0.3996790591591351,0.3432052202694142,0.2898142759482193,0.24241881846443725,0.1679811100358871,0.0756039500498193,0.012727959982205179,0.0015640096618357489,0.3947724020272105,0.9640564826700898,0.9640564826700898,0.9634146341463414,0.9602053915275995,0.9518613607188704,0.9467265725288831,0.9364569961489089,0.9152759948652118,0.8883183568677792,0.8510911424903723,0.7958921694480102,0.7284980744544287,0.6367137355584083,0.524390243902439,0.42041078305519897,0.2631578947368421,0.12387676508344031,0.01797175866495507,0.0012836970474967907,0.6765083440308087,0.37919717243120427,0.37919717243120427,0.37894471093158294,0.3776824034334764,0.3744004039383994,0.3723807119414289,0.36834132794748803,0.36001009845998483,0.3494067154758899,0.33476394849785407,0.3130522595304216,0.2865438020701843,0.25044180762433726,0.20626104519060842,0.16536228225195657,0.10350921484473617,0.0487250694269124,0.007068921989396617,0.0005049229992426155,0.26609442060085836,0.586123649770048,0.586123649770048,0.5855385984279322,0.5844435838971155,0.5803937362432474,0.5765096002659922,0.5701971330204616,0.5607873151766325,0.5473919992107952,0.5323643417097415,0.498664532268397,0.46397751524385683,0.4100952597925122,0.35502670969037586,0.2997121526675445,0.22335274153982385,0.11306938717957077,0.019339676269558317,0.00202020202020202,0.42605956758757135,0.9843650968961375,0.9843650968961375,0.9836992035777858,0.9807623536830522,0.973874578677135,0.9685765818553542,0.9590296349837598,0.9389910612875767,0.9138656852242489,0.8860758402088631,0.841441574593183,0.7953885260060783,0.7354704045923366,0.6637544029108242,0.6011102170788579,0.4262330965600958,0.2019334168591031,0.04719874535299499,0.008385228886703813,0.7312905655858015,0.691423168928588,0.691423168928588,0.6917853726125691,0.6935132374215046,0.6975905212870624,0.6999173774567606,0.7039921433026177,0.7116122134937548,0.7201945850444381,0.7310646903547834,0.7452463552902511,0.7607966018935164,0.7803599196607469,0.8028436047324554,0.821824720508806,0.849415380923703,0.877920157334868,0.9224067733955998,0.9698198198198198,0.7664815690731808,0.74658182666891,0.74658182666891,0.7457279264763518,0.7430879725811985,0.7352747482590277,0.7292179719327613,0.7183189167071566,0.6994154721826522,0.6748498904284932,0.6449624760715055,0.5934572984842097,0.5395974657067875,0.4674649482697981,0.38984070958648676,0.31924204813581525,0.21025117186974693,0.09677588935112724,0.015124279324893379,0.0014169384549637307,0.5166941987979367,1502.0,1502.0,1501.0,1496.0,1483.0,1475.0,1459.0,1426.0,1384.0,1326.0,1240.0,1135.0,992.0,817.0,655.0,410.0,193.0,28.0,2.0,1054.0,56.0,56.0,57.0,62.0,75.0,83.0,99.0,132.0,174.0,232.0,318.0,423.0,566.0,741.0,903.0,1148.0,1365.0,1530.0,1556.0,504.0,2459.0,2459.0,2460.0,2465.0,2478.0,2486.0,2502.0,2535.0,2577.0,2635.0,2721.0,2826.0,2969.0,3144.0,3306.0,3551.0,3768.0,3933.0,3959.0,2907.0,-0.8472400513478819,0.7310646903547834,-0.8401797175866496,0.8510911424903723,0.33476394849785407,0.75,0.25,0.0,-1.0761285112898313,0.4805218336655191,0.7496443812233285,-0.8408481339442607,969.3917794104428,1326,232,2635,11,6,2,0,72.0,3515,0.3515129552455155,0.6225930680359435,0.2448876546326685,970,588,2991,5.026279384625964,0.1827737958045805,535.0260569388714,0.17887865494445718,47,8,2991,3961,1558,47,8
video11,0.420466545140905,0.6396077717358664,0.2689336700270523,0.420466545140905,0.42001917582480425,0.41896646699938134,0.4168783459288837,0.4136986984762061,0.4095994798318738,0.404740580848782,0.3882480716880737,0.3715431572219627,0.34555428574613767,0.31322641670449924,0.2680817367513788,0.20458511567137597,0.14576524727257376,0.09493298419688893,0.05832253185803046,0.035855863840822254,0.014986096982989512,0.0011510371204983309,0.27087483358452985,0.7024839519955345,0.701534170153417,0.6982182628062361,0.6916250693288963,0.681367144432194,0.6703176341730559,0.6526686534814413,0.6210470369386129,0.5803108808290155,0.5295887662988967,0.461778097292116,0.37728606909008805,0.27401837928153716,0.1776061776061776,0.101878612716763,0.05299499395822545,0.024521330198186093,0.007931262392597489,0.00032797638570022957,0.42144760365045736,0.2516671236126011,0.2514718677523117,0.25140118759491137,0.2512742279180728,0.2511811943376417,0.2502869167174975,0.2509925011902958,0.2427136049348982,0.23787994028521048,0.22547261572789917,0.2124630611474774,0.19048627412340272,0.152745482489212,0.11963270421566422,0.08846087758951093,0.06418564223277966,0.052429577081698736,0.028316186209294783,0.004039578794480756,0.17774213494499272,0.7268264510539995,0.7262489171238811,0.7242275483684667,0.7201848108576379,0.7138319376263356,0.7069015304649148,0.6956396188276062,0.6748483973433439,0.6468380017326018,0.6098758302050246,0.556453941669073,0.4825295986139186,0.3788622581576668,0.26566560785446147,0.16286456829338725,0.08865145827317356,0.042159976898642794,0.013860814322841466,0.0005775339301183945,0.4703709895587945,0.9544937428896473,0.9537353052711415,0.9510807736063709,0.9457717102768297,0.9374288964732651,0.9283276450511946,0.9135381114903299,0.8862343572241184,0.8494501327265832,0.800910125142207,0.7307546454304134,0.6336746302616609,0.4975350777398559,0.3488813045127038,0.21387940841865757,0.11642017444065225,0.05536594615092909,0.01820250284414107,0.0007584376185058779,0.6177075225036425,0.25423791198551926,0.2541086405491554,0.2541605297420117,0.2542211033340171,0.25448963594248425,0.2540550468364134,0.2550851058247411,0.24967679309404042,0.247009706536089,0.2377255566590438,0.2281865010195543,0.21075775915789918,0.17790190881770437,0.1463803378493504,0.11378693421883436,0.08671464267095555,0.07559758444365575,0.04215759791263787,0.006676538591432209,0.1896278860623968,0.9861599347483421,0.9854495632811086,0.984211869436589,0.9806848408626596,0.9739547779084997,0.9669288954609601,0.9589053854677897,0.9376679818210812,0.911091544818404,0.8731443150079509,0.8171316425913224,0.7341216887378447,0.5984679415477098,0.45870268314805474,0.3448015359679485,0.25772349899231095,0.1862374300680062,0.09726375010018874,0.01014889731703891,0.6875156935412531,0.6396077717358664,0.6400588990886047,0.6414768534635288,0.6440497914690337,0.6477751412345333,0.6514157806603158,0.6566383923879999,0.6652531501859931,0.6756142692388398,0.6877255192425551,0.7035088058018831,0.7230884596731171,0.7494663673455112,0.780763317685326,0.8166842915836537,0.8527940419961272,0.8856639086165095,0.9182954773735011,0.9620793787748059,0.7337873482925108,0.4276895162408298,0.42735368448421757,0.42669856544026913,0.4253984982420322,0.42343967533680155,0.4206283448401256,0.4178520406275466,0.4047158105433263,0.39226239333685325,0.37082381086649624,0.34383994508287,0.3031753047235648,0.24056079983913672,0.1782758959723031,0.12002975730821866,0.0754330881254116,0.0470152077371783,0.019811244266275632,0.001527414094867334,0.2877121577425434,2517.0,2515.0,2508.0,2494.0,2472.0,2448.0,2409.0,2337.0,2240.0,2112.0,1927.0,1671.0,1312.0,920.0,564.0,307.0,146.0,48.0,2.0,1628.8947368421052,946.0,948.0,955.0,969.0,991.0,1015.0,1054.0,1126.0,1223.0,1351.0,1536.0,1792.0,2151.0,2543.0,2899.0,3156.0,3317.0,3415.0,3461.0,1834.1052631578948,120.0,122.0,129.0,143.0,165.0,189.0,228.0,300.0,397.0,525.0,710.0,966.0,1325.0,1717.0,2073.0,2330.0,2491.0,2589.0,2635.0,1008.1052631578947,0.44412359226104536,0.6877255192425551,0.458273173548946,0.6098758302050246,0.800910125142207,0.125,0.875,0.0,0.25367493405725566,0.6924590163934427,0.13597513597513597,0.4577851007565612,1452.4762966402764,2112,1351,525,49,1,7,0,169.0,3861,0.3281967213114754,0.28905573202425644,0.3795980280621919,1001,2462,1636,3.1683228328482453,0.05977967609147633,835.9959217754492,0.4228608607867725,98,8,1977,2637,3463,98,8
COMBINED,0.44453569547460053,0.6589724710599439,0.29293678572124826,0.44453569547460053,0.44433004291474903,0.44351566691148026,0.44148695224336015,0.43694526789940114,0.4327399442184019,0.42629071869813717,0.4113597080937221,0.3942042793642496,0.3707113813754206,0.33669188668741074,0.2959575397518384,0.2409637234092713,0.18734511955181876,0.14165106812662076,0.09013801729063937,0.04440932331903441,0.012191119403887339,0.0009822872494506482,0.2945499864201839,0.5288157894736842,0.5284135753749013,0.5268068331143233,0.5230043255996855,0.5160490605427975,0.5097453222453222,0.49903238291833313,0.4789969450101833,0.45328330206378986,0.42024202420242024,0.3747042120208235,0.31839328265062977,0.24734299516908212,0.17577413479052822,0.11721153846153846,0.06576774903687396,0.0300531914893617,0.006584076929740969,0.00034438226431338786,0.33266132228201756,0.37368775381643676,0.3736262583650501,0.3733933093332667,0.37267517582697446,0.36996708595663796,0.36736748950885356,0.3641522736169077,0.3532732540483212,0.3428253658618525,0.3270185282923475,0.30253576801220583,0.2751027427675782,0.2347489807001324,0.19967780732763743,0.17118643236644016,0.12353869913553286,0.06562324664761988,0.022573155494051245,0.0028017942281582525,0.2639881642792634,0.8004381597291377,0.8000398327026489,0.7984465245966939,0.7946624178450508,0.7876916948814977,0.7813184624576778,0.7703644692292372,0.749452300338578,0.72176857199761,0.6847241585341566,0.6307508464449313,0.5588528181637125,0.45887273451503685,0.345947022505477,0.24278032264489147,0.14280023899621588,0.06751643098984265,0.015136427006572396,0.0007966540529774945,0.5343347414543129,0.609123976962716,0.6088208548044862,0.6076083661715671,0.6047287056683843,0.5994240678993634,0.5945741133676872,0.5862382540163686,0.5703243407093058,0.5492573507123371,0.5210669899969688,0.4799939375568354,0.42528038799636253,0.3491967262806911,0.2632615944225523,0.18475295544104273,0.10866929372537132,0.051379205819945435,0.011518642012731131,0.0006062443164595332,0.4066224214674304,0.3782718453401753,0.37825266441019123,0.37823099147749856,0.3780338429135648,0.3766933731728337,0.3752940135222733,0.37394458040554673,0.36757304727681384,0.3617252399416611,0.35136459940983644,0.3340888561659278,0.3131827139538942,0.2778740460429689,0.2445174050883359,0.21368932805304694,0.1648480046461801,0.09693108865613835,0.033750995202029614,0.0043483703058171145,0.2843481582097228,0.9854891593181327,0.9850440695021127,0.9840199234515395,0.9807139033136139,0.9739247057314798,0.9675484053849293,0.9589522520768383,0.9381693667052754,0.912150984752645,0.8781318666124912,0.8266498982535603,0.7589035348887517,0.6574551131363686,0.5551490015396394,0.48252277151154627,0.3540818462765393,0.19517349334435338,0.07881874835122263,0.009267063101871361,0.7095876898554164,0.6589724710599439,0.6592645583616081,0.6603127445193306,0.6625954844878047,0.6664543343111201,0.6696517876128409,0.6745001097055872,0.6828210545912198,0.6926394229570926,0.7044409761636763,0.7198506313041174,0.7383410403645474,0.7627677579256821,0.7911488067570039,0.8194463760348225,0.850862032177865,0.8812552242585246,0.9198101653816427,0.9659495992973128,0.7463728724879863,0.5469130991100356,0.5467320086072256,0.5460170236767394,0.5441975342589241,0.5398333085199105,0.5357527433994105,0.5296508028725238,0.5145497574526775,0.49743399035718044,0.4731992039406405,0.4368348563857584,0.39209940459050424,0.3282071094575609,0.2628268306421901,0.20386440906237713,0.13282076555206157,0.06656310842811843,0.018484504874183547,0.0014940082755698586,0.37460391944545224,4019.0,4017.0,4009.0,3990.0,3955.0,3923.0,3868.0,3763.0,3624.0,3438.0,3167.0,2806.0,2304.0,1737.0,1219.0,717.0,339.0,76.0,4.0,2682.8947368421054,1002.0,1004.0,1012.0,1031.0,1066.0,1098.0,1153.0,1258.0,1397.0,1583.0,1854.0,2215.0,2717.0,3284.0,3802.0,4304.0,4682.0,4945.0,5017.0,2338.1052631578946,2579.0,2581.0,2589.0,2608.0,2643.0,2675.0,2730.0,2835.0,2974.0,3160.0,3431.0,3792.0,4294.0,4861.0,5379.0,5881.0,6259.0,6522.0,6594.0,3915.1052631578946,0.043417645887273454,0.7044409761636763,0.05536745668193587,0.6847241585341566,0.5210669899969688,0.4375,0.5625,0.0,-0.15895875800623002,0.5917893106119287,0.4284164859002169,0.055013313831829586,2421.868076050719,3438,1583,3160,60,7,9,0,241.0,7376,0.33927188226181254,0.39255128460466043,0.298726886935435,1971,3050,4627,8.194602217474209,0.10179630083818893,1371.0219787143205,0.27597060763170705,145,16,4968,6598,5021,145,16
