seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,OWTA___5,OWTA___10,OWTA___15,OWTA___20,OWTA___25,OWTA___30,OWTA___35,OWTA___40,OWTA___45,OWTA___50,OWTA___55,OWTA___60,OWTA___65,OWTA___70,OWTA___75,OWTA___80,OWTA___85,OWTA___90,OWTA___95,OWTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,IDF1,IDR,IDP,IDTP,IDFN,IDFP,STDA,ATA,FDA,SFDA,VACE_IDs,VACE_GT_IDs,num_non_empty_timesteps,Dets,GT_Dets,IDs,GT_IDs
video10,0.66650647,0.6953275,0.4634403,0.66650647,0.66650647,0.6656324,0.66348016,0.65384364,0.6446334,0.63321716,0.6083894,0.5800359,0.5457878,0.50272304,0.43355402,0.36487266,0.2973388,0.226685,0.156121,0.08206832,0.020808166,0.0042606345,0.4429719,0.7475,0.7475,0.7466267,0.744012,0.7319128,0.72337276,0.71155727,0.6810967,0.6462553,0.6076357,0.5560997,0.47717667,0.39520958,0.30605382,0.22288314,0.14929299,0.07472324,0.01717113,0.0025817556,0.4888769,0.59428877,0.59428877,0.59342444,0.5916651,0.58410174,0.5744648,0.5635021,0.5434436,0.5206018,0.49023506,0.45446962,0.39391932,0.33686444,0.28887197,0.23055173,0.1632613,0.090135396,0.025215566,0.007031264,0.40212297,0.95956355,0.95956355,0.9589217,0.95699614,0.94801027,0.9415918,0.9326059,0.9088575,0.8806162,0.8478819,0.8016688,0.724647,0.63543004,0.5256739,0.40885752,0.29139924,0.15596919,0.037869062,0.005776637,0.6779948,0.7718121,0.7718121,0.77129585,0.769747,0.76251936,0.75735676,0.75012904,0.73102736,0.7083118,0.68198246,0.6448116,0.5828601,0.51109964,0.42281878,0.32885906,0.23438306,0.12545173,0.030459473,0.0046463604,0.54533595,0.6032595,0.6032595,0.6027246,0.6016423,0.59768355,0.59188586,0.5852527,0.57290655,0.55735344,0.5362219,0.5096217,0.45929557,0.40426093,0.3558544,0.2888871,0.21211179,0.12620983,0.034352675,0.0092031425,0.4343151,0.9842969,0.9842969,0.9836238,0.98161036,0.9735924,0.9673508,0.95891994,0.93802595,0.914129,0.8857126,0.85107386,0.78906816,0.7296145,0.66334766,0.58937997,0.47253546,0.28145227,0.11235403,0.035600536,0.74189395,0.6953275,0.6953275,0.695702,0.69673437,0.70118016,0.7041078,0.7077204,0.7163557,0.72557706,0.7353437,0.74740964,0.7655117,0.78521097,0.80811644,0.8317953,0.8552429,0.8828184,0.9235062,0.96795285,0.77057576,0.7551542,0.7551542,0.7543524,0.75247675,0.74413335,0.7354667,0.7249313,0.7027893,0.67708963,0.6447181,0.603601,0.5342775,0.46265948,0.3896825,0.30702248,0.21811515,0.11856789,0.030901292,0.006373151,0.5219719,1495.0,1495.0,1494.0,1491.0,1477.0,1467.0,1453.0,1416.0,1372.0,1321.0,1249.0,1129.0,990.0,819.0,637.0,454.0,243.0,59.0,9.0,1056.3158,63.0,63.0,64.0,67.0,81.0,91.0,105.0,142.0,186.0,237.0,309.0,429.0,568.0,739.0,921.0,1104.0,1315.0,1499.0,1549.0,501.6842,442.0,442.0,443.0,446.0,460.0,470.0,484.0,521.0,565.0,616.0,688.0,808.0,947.0,1118.0,1300.0,1483.0,1694.0,1878.0,1928.0,880.6842,0.444801026957638,0.7353434706618621,0.4525032092426187,0.8478818998716303,0.6819824470831182,0.625,0.375,0.0,0.22040354604898582,0.755937052932761,0.17524893314367,0.4518105383529861,971.3887247443199,1321,237,616,12,5,3,0,78.0,3515,0.5579399141630901,0.6258023106546855,0.5033557046979866,975,583,962,5.0755204614537295,0.1637264664985074,595.1583075883841,0.46460445557250907,54,8,1281,1937,1558,54,8
video11,0.4215245,0.6431559,0.27110595,0.4215245,0.42090335,0.4200952,0.41810986,0.414479,0.41054296,0.40372518,0.38984883,0.36765346,0.34111562,0.30335823,0.25991744,0.21320865,0.15701759,0.10567832,0.060463123,0.031902686,0.011447038,0.001610925,0.27118957,0.6449644,0.64362675,0.640958,0.63564634,0.6274155,0.61797076,0.60353035,0.57848495,0.538242,0.4843033,0.41717792,0.3432464,0.26923078,0.18617958,0.11164581,0.054656927,0.021607278,0.005972378,0.0008665511,0.3908277,0.27549258,0.2752521,0.27533782,0.27502063,0.2738103,0.2727403,0.27006766,0.26272437,0.25113067,0.2402624,0.22059226,0.19681801,0.16884372,0.13242334,0.10002979,0.06688611,0.047103632,0.021940116,0.0029947213,0.19102478,0.91539127,0.9142362,0.9119261,0.9073058,0.90008664,0.89171237,0.8787179,0.8556165,0.8169218,0.76176727,0.6872654,0.59659255,0.49523535,0.36644527,0.23447877,0.12099336,0.04937915,0.013860814,0.0020213688,0.59578705,0.68585026,0.68498486,0.683254,0.6797923,0.6743834,0.66810906,0.658373,0.64106447,0.6120727,0.57074857,0.5149286,0.44699264,0.3710515,0.27455646,0.17568152,0.0906534,0.03699697,0.010385115,0.0015144959,0.44638914,0.28199646,0.2818426,0.28201967,0.28196183,0.28116468,0.2804031,0.27872998,0.27350098,0.26473758,0.25692728,0.24102075,0.22069491,0.19508867,0.16001962,0.12726788,0.09050555,0.06846125,0.033834565,0.004507151,0.2055097,0.9301552,0.92937046,0.92801,0.9247082,0.920009,0.91314983,0.90283954,0.88468117,0.85404426,0.81026083,0.7520571,0.6770258,0.589284,0.46804214,0.34149233,0.21948615,0.1402332,0.061993007,0.013145265,0.6452625,0.6431559,0.64387584,0.6451637,0.64754343,0.65094966,0.6544973,0.65928316,0.66686875,0.6783068,0.6928982,0.71105415,0.73172516,0.75339824,0.780575,0.8121844,0.8493656,0.88795024,0.92553645,0.96971357,0.737055,0.5021787,0.50164276,0.50108653,0.4995276,0.49644032,0.49315912,0.4871481,0.4741216,0.45293942,0.42781308,0.3893654,0.34266624,0.2891667,0.22028597,0.1531498,0.08995986,0.048227973,0.01743869,0.002460373,0.3362515,3170.0,3166.0,3158.0,3142.0,3117.0,3088.0,3043.0,2963.0,2829.0,2638.0,2380.0,2066.0,1715.0,1269.0,812.0,419.0,171.0,48.0,7.0,2063.2104,293.0,297.0,305.0,321.0,346.0,375.0,420.0,500.0,634.0,825.0,1083.0,1397.0,1748.0,2194.0,2651.0,3044.0,3292.0,3415.0,3456.0,1399.7894,1452.0,1456.0,1464.0,1480.0,1505.0,1534.0,1579.0,1659.0,1793.0,1984.0,2242.0,2556.0,2907.0,3353.0,3810.0,4203.0,4451.0,4574.0,4615.0,2558.7896,0.17499278082587352,0.6928986886444193,0.188853595148715,0.7617672538261623,0.5707485936823886,0.25,0.75,0.0,-0.058946941771880416,0.6525664811379097,0.5138565138565139,0.18836810821906566,1827.8667406439781,2638,825,1984,48,2,6,0,201.0,3861,0.28249845392702533,0.3297718740976032,0.24707918649935093,1142,2321,3480,3.350190982865105,0.03701868489353707,1011.2014796809298,0.4496227121747131,173,8,2249,4622,3463,173,8
COMBINED,0.504753,0.65987545,0.33307412,0.504753,0.5043402,0.5034656,0.50137097,0.49564162,0.4897471,0.48123813,0.46364403,0.43940517,0.4100516,0.37070468,0.3186437,0.26496086,0.20646714,0.15004544,0.09767346,0.051797032,0.0148816295,0.0026990848,0.33008054,0.6746204,0.6736523,0.67147803,0.6669066,0.65760094,0.6483986,0.63466966,0.60811,0.56931835,0.51948565,0.45642057,0.38103756,0.30478874,0.21997471,0.14302635,0.08153544,0.037076842,0.009326244,0.0013836042,0.41888478,0.3776577,0.37758204,0.37749204,0.37692368,0.37357095,0.3699148,0.36489868,0.35349816,0.33913696,0.3236708,0.30108628,0.26646665,0.23033743,0.19378898,0.157409,0.117005624,0.07236141,0.023746205,0.0052652764,0.26325327,0.9290978,0.92830116,0.92650867,0.92272455,0.91495717,0.9071898,0.89543915,0.872137,0.8366859,0.7884883,0.7227644,0.63632745,0.5387373,0.4158534,0.28858793,0.17386974,0.0824537,0.021310495,0.003186616,0.6212958,0.7112365,0.7106266,0.70925444,0.70635766,0.7004117,0.69446564,0.68547034,0.6676323,0.640494,0.6035981,0.55328554,0.48711693,0.41241044,0.31834123,0.22091782,0.13309956,0.06311938,0.016313462,0.0024393962,0.47561002,0.38495216,0.38493598,0.38501474,0.38484195,0.3829275,0.3807204,0.3777908,0.37031722,0.3603027,0.35011956,0.33346567,0.30500793,0.2716434,0.23683412,0.19831789,0.15374637,0.10235716,0.03412025,0.0071486463,0.28445077,0.9475061,0.946988,0.94587046,0.9430205,0.9372364,0.93060595,0.9209634,0.90193087,0.8736673,0.8354368,0.7861359,0.7166176,0.6406434,0.54464906,0.45046708,0.35108337,0.22312264,0.08976217,0.025776355,0.68481493,0.65987545,0.66037875,0.6613942,0.6633741,0.6670991,0.67047507,0.6749369,0.6828709,0.6937447,0.707061,0.7235667,0.7436641,0.7650414,0.79137784,0.8208056,0.852422,0.8849381,0.92441696,0.9687232,0.74821925,0.59235203,0.59203875,0.59139633,0.58974296,0.5846378,0.5792952,0.57161576,0.55524665,0.53268296,0.50518376,0.4664916,0.4117767,0.35226604,0.2838799,0.21313454,0.14263147,0.0772429,0.022495408,0.004096146,0.40358981,4665.0,4661.0,4652.0,4633.0,4594.0,4555.0,4496.0,4379.0,4201.0,3959.0,3629.0,3195.0,2705.0,2088.0,1449.0,873.0,414.0,107.0,16.0,3119.5264,356.0,360.0,369.0,388.0,427.0,466.0,525.0,642.0,820.0,1062.0,1392.0,1826.0,2316.0,2933.0,3572.0,4148.0,4607.0,4914.0,5005.0,1901.4736,1894.0,1898.0,1907.0,1926.0,1965.0,2004.0,2063.0,2180.0,2358.0,2600.0,2930.0,3364.0,3854.0,4471.0,5110.0,5686.0,6145.0,6452.0,6543.0,3439.4736,0.25871340370444135,0.7070612440990902,0.27066321449910374,0.7884883489344752,0.6035981094679067,0.4375,0.5625,0.0,0.02773460772521371,0.6837651122625216,0.3524945770065076,0.2703090716489975,2799.255465388298,3959,1062,2600,60,7,9,0,279.0,7376,0.36563039723661483,0.42162915753833896,0.3227626162524775,2117,2904,4442,8.425711444318834,0.06934741929480522,1606.359787269314,0.4550594298213354,227,16,3530,6559,5021,227,16
